Countries_2021,emplrtot,emplrtfem,emplrtmal,unemplrtot,unemplrtfem,unemplrtmal,mandeduc,imigrfem,imigrmal,imigrtot,emigrfem,emigrmal,emigrtot,lifexpfem,lifexpmal,hicp,popctryfem,popctrymal,popctrytot,gdpcountry,expbirth,excrate,debtgvn,stdenroleduc,labourfrc,expbirthd,eurozone
Austria,57.4,52.5,62.5,6.2,6.1,6.3,9,50392,68119,118511,28792,38507,67299,83.7,78.8,111.46,4535712,4396952,8932664,405241.4,81.4,100,334284,1762607,4688653,1,1
Belgium,51.1,47.1,55.2,6.3,5.9,6.6,13,62991,76752,139743,37335,49937,87272,84.3,79.4,111.71,5854293,5700474,11554767,507929.6,83,100,548456.4,2974830,5259744,1,1
Croatia,47.8,42.1,54.1,7.6,8,7.3,9,9811,26101,35912,14755,25669,40424,79.8,73.6,105.82,2071425,1964930,4036355,58455.1,82,101.13245,45628.9,747467,1724587,1,0
Cyprus,59,53.3,65.3,7.5,7.9,7.1,10,12849,11152,24001,9242,9168,18410,83.4,79.2,101.92,458357,437650,896007,24927.6,80.6,100,24744.7,193164,667244,1,1
Czechia,58.1,50.1,66.4,2.8,3.4,2.3,10,26794,42566,69360,7678,10952,18630,80.5,74.1,115.1,5323934,5170902,10494836,238249.5,81.7,106.39562,2566731,2143018,5279722,1,0
Denmark,59.4,55.1,63.8,5.1,5.2,5,10,29089,34400,63489,20166,23842,44008,83.3,79.6,104.9,2935188,2904857,5840045,342961.7,82,100.29272,918686.3,1471135,3070703,1,0
Estonia,59.8,55.1,65.2,6.2,5.6,6.8,10,7758,11766,19524,5186,7295,12481,81.4,72.7,114.72,699153,630915,1330068,31169,81.9,100,5533.5,296467,702984,1,1
Finland,55.8,52.7,59,7.7,7.1,8.2,11,16170,20194,36364,6757,6702,13459,84.6,79.3,106.12,2799985,630915,5533793,250664,82.6,100,181944,1419233,2799859,1,1
France,51.5,48.2,55.1,7.9,7.8,8,13,169508,166890,336398,79425,97603,177028,85.5,79.3,107.68,34939338,630915,67656682,2502118,83.8,100,2823692,15701618,31271173,1,1
Germany,58.3,53.5,63.2,3.7,3.2,4,10,375443,498924,874367,204176,338986,543162,83.3,78.4,109.2,42128512,630915,83155031,3617450,80.7,100,2495538.2,16504475,43386527,1,1
Greece,43.3,35.3,51.9,14.7,18.9,11.4,10,23999,33121,57120,36369,43227,79596,82.9,77.4,101.75,5482584,630915,10678632,181500.4,81.6,100,353848,2386773,4571642,1,1
Hungary,57.1,50.6,64.4,4.1,4.2,3.9,13,33566,46905,80471,26027,41972,67999,77.8,70.7,119.04,5066978,630915,9730772,153963.3,83,86.43121,42320502,1810601,4920977,1,0
Ireland,59.4,54.3,64.7,6.2,6.2,6.3,10,39096,41636,80732,24086,28343,52429,84.3,80.5,103.6,2528521,630915,5006324,434069.7,82.5,100,236127.2,1404342,2551560,1,1
Italy,44,35.8,52.6,9.5,10.6,8.7,10,150409,167957,318366,75128,83184,158312,84.9,80.5,105,30369987,630915,59236213,1822344.5,81.2,100,2679901.4,10757432,25087249,1,1
Latvia,55.7,50.8,61.6,7.6,6.6,8.5,9,4290,8399,12689,5625,7350,12975,78,68.2,112.14,1017998,630915,1893223,33348.9,82.9,100,14688.4,405108,956869,1,1
Lithuania,57.9,53.6,62.9,7.1,6.6,7.6,10,14476,30382,44858,7455,17750,25205,78.8,69.5,115.75,1482082,630915,2795680,56478.1,77.1,100,24535.5,567203,1468048,0,1
Luxembourg,58.7,54.9,62.4,5.3,5.6,4.9,12,11651,13684,25335,7279,8680,15959,84.8,80.5,109.61,315274,630915,634730,72360.9,77.7,100,17731.2,116458,333257,0,1
Malta,61,52.3,69,3.4,3.1,3.6,11,7000,11148,18148,5329,8180,13509,84.3,80.8,107.12,249161,630915,516100,15327.3,80.1,100,8263.9,85991,282572,1,1
Netherlands,64.2,59.9,68.4,4.2,4.5,4,13,103304,110801,214105,49267,61075,110342,83,79.7,109.98,8788879,630915,17475415,870587,76.5,100,449659,4222660,9620091,0,1
Poland,55.3,47.8,63.5,3.4,3.4,3.4,12,92144,148972,241116,88244,113351,201595,79.6,71.6,114.3,19532513,630915,37840001,576382.6,73.7,91.62002,1410509,7693426,18519217,0,0
Portugal,53.6,49.6,58.1,6.7,7.1,6.4,12,24910,25811,50721,9814,15265,25079,84.4,78.5,104.55,5439503,630915,10298252,216053.2,81,100,269089,1979425,5190888,1,1
Romania,48.2,39,58.1,5.6,5.1,6,13,80728,113914,194642,85823,131038,216861,76.6,69.2,115.21,9814072,630915,19201662,241611.3,73.6,90.31534,577260.7,3477204,8200518,0,0
Slovakia,56.5,51.3,62,6.8,7,6.7,10,2737,2996,5733,2063,1332,3395,78.2,71.2,111.53,2793295,630915,5459781,100255.7,77.6,100,61237.8,1008084,2773127,0,1
Slovenia,55.7,51.2,60.2,4.8,5.3,4.3,9,9155,14469,23624,6443,14701,21144,83.8,77.7,106.97,1049039,630915,2108977,52278.8,74.9,100,38878.5,426178,1045561,0,1
Spain,49.2,44.2,54.5,14.8,16.7,13.1,10,255870,272986,528856,174713,206073,380786,86.2,80.4,107.04,24171413,630915,47398695,1222290,74.5,100,1428133,10072521,23384158,0,1
Sweden,60.9,57.5,64.2,8.8,9.1,8.5,10,44163,46468,90631,23260,25024,48284,84.9,81.3,110.49,5156448,630915,10379295,540734,74.2,92.16688,2000905,2860205,5638697,0,0
