Portugal, Deaths (period 1x1), 	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1951          60               550.69          674.07         1224.76
  1951          61               456.57          522.83          979.40
  1951          62               616.77          706.12         1322.89
  1951          63               591.74          684.08         1275.82
  1951          64               650.81          786.25         1437.06
  1951          65               710.89          780.25         1491.14
  1951          66               732.91          781.24         1514.15
  1951          67               724.91          795.27         1520.18
  1951          68               819.02          870.39         1689.41
  1951          69               719.90          777.23         1497.13
  1951          70              1140.43         1049.67         2190.10
  1951          71               835.04          825.31         1660.35
  1951          72              1078.35          994.58         2072.93
  1951          73              1075.34          979.56         2054.90
  1951          74              1117.39         1003.60         2120.99
  1951          75              1244.55         1033.64         2278.19
  1951          76              1200.50         1010.61         2211.11
  1951          77              1126.41          937.50         2063.91
  1951          78              1243.55          910.45         2154.00
  1951          79               929.16          713.13         1642.29
  1951          80              1304.63          832.33         2136.96
  1951          81               906.13          637.02         1543.15
  1951          82              1042.31          667.07         1709.38
  1951          83               903.12          572.91         1476.03
  1951          84               981.23          528.84         1510.07
  1951          85               875.09          461.73         1336.82
  1951          86               722.91          379.60         1102.51
  1951          87               642.81          313.50          956.31
  1951          88               577.72          288.46          866.18
  1951          89               416.52          155.25          571.77
  1951          90               476.60          176.28          652.88
  1951          91               260.33           99.16          359.49
  1951          92               239.30           89.14          328.44
  1951          93               210.26           57.09          267.35
  1951          94               140.18           45.07          185.25
  1951          95               146.19           36.06          182.25
  1951          96               113.14           31.05          144.19
  1951          97                82.10           29.05          111.15
  1951          98                84.11           27.04          111.15
  1951          99                42.05           14.02           56.07
  1951         100                31.04            9.01           40.05
  1951         101                16.02            1.00           17.02
  1951         102                11.01            2.00           13.01
  1951         103                11.01            2.00           13.01
  1951         104                 7.01            1.00            8.01
  1951         105                 6.01            1.00            7.01
  1951         106                 2.01            0.00            2.01
  1951         107                 2.01            0.00            2.01
  1951         108                 1.00            0.00            1.00
  1951         109                 0.00            0.00            0.00
  1952          60               554.73          616.91         1171.64
  1952          61               385.51          516.76          902.27
  1952          62               523.69          673.00         1196.69
  1952          63               530.70          682.01         1212.71
  1952          64               585.77          667.99         1253.76
  1952          65               702.92          689.01         1391.93
  1952          66               646.85          763.13         1409.98
  1952          67               712.93          808.19         1521.12
  1952          68               810.06          782.16         1592.22
  1952          69               654.86          755.11         1409.97
  1952          70               977.28          846.25         1823.53
  1952          71               774.01          779.15         1553.16
