Portugal, Exposure to risk (period 1x1), 	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1951          60             38548.08        28677.90        67225.97
  1951          61             35596.98        26382.88        61979.85
  1951          62             29707.26        23140.28        52847.55
  1951          63             32281.04        24372.86        56653.91
  1951          64             30941.34        22732.94        53674.28
  1951          65             31160.73        21866.41        53027.14
  1951          66             30751.61        21403.71        52155.32
  1951          67             27533.40        19485.10        47018.49
  1951          68             26244.50        18052.57        44297.07
  1951          69             23095.04        16090.77        39185.81
  1951          70             24813.28        16851.05        41664.32
  1951          71             22221.96        15016.05        37238.01
  1951          72             17560.57        12303.58        29864.15
  1951          73             18271.49        12659.56        30931.05
  1951          74             16320.70        11284.29        27604.99
  1951          75             16865.84        10652.94        27518.78
  1951          76             15818.50         9673.26        25491.77
  1951          77             12969.65         8097.03        21066.68
  1951          78             12231.09         7351.01        19582.09
  1951          79              9970.21         5891.80        15862.00
  1951          80             10117.99         5341.07        15459.06
  1951          81              8839.57         4535.32        13374.89
  1951          82              7626.08         3764.88        11390.95
  1951          83              6564.69         3074.16         9638.85
  1951          84              5614.37         2502.82         8117.19
  1951          85              4642.56         1974.27         6616.83
  1951          86              3832.71         1541.73         5374.44
  1951          87              3137.38         1190.71         4328.08
  1951          88              2491.21          882.68         3373.89
  1951          89              2000.15          673.68         2673.83
  1951          90              1599.00          529.03         2128.03
  1951          91              1242.79          392.08         1634.88
  1951          92               975.25          284.84         1260.09
  1951          93               739.69          195.72          935.41
  1951          94               560.96          135.65          696.60
  1951          95               429.08           99.54          528.61
  1951          96               323.11           72.46          395.57
  1951          97               230.41           50.26          280.67
  1951          98               148.99           30.42          179.41
  1951          99                95.76           17.69          113.45
  1951         100                63.21           13.52           76.74
  1951         101                40.63           10.42           51.05
  1951         102                27.64            7.16           34.80
  1951         103                18.98            4.73           23.71
  1951         104                14.24            3.22           17.45
  1951         105                10.22            1.71           11.93
  1951         106                 7.50            0.73            8.23
  1951         107                 5.98            0.50            6.48
  1951         108                 3.98            0.50            4.48
  1951         109                 2.75            0.23            2.98
  1952          60             34306.96        26656.87        60963.83
  1952          61             37693.42        27913.82        65607.24
  1952          62             34885.37        25733.69        60619.06
  1952          63             29259.49        22663.00        51922.48
  1952          64             31610.01        23707.11        55317.13
  1952          65             30122.87        21996.52        52119.38
  1952          66             30280.76        21111.90        51392.66
  1952          67             29791.95        20541.24        50333.18
  1952          68             26589.24        18643.61        45232.85
  1952          69             25390.48        17295.52        42686.00
  1952          70             22257.38        15341.96        37599.33
  1952          71             23783.58        15977.31        39760.89
  1952          72             21301.96        14158.84        35460.80
  1952          73             16737.21        11490.92        28228.12
  1952          74             17318.97        11752.61        29071.58
  1952          75             15393.29        10390.01        25783.29
  1952          76             15788.21         9724.70        25512.91
  1952          77             14740.01         8751.89        23491.90
  1952          78             11960.67         7223.73        19184.40
  1952          79             11244.23         6555.96        17800.19
  1952          80             10303.84         5415.01        15718.85
  1952          81              9031.22         4633.18        13664.40
  1952          82              7892.06         3908.00        11800.06
  1952          83              6681.87         3175.37         9857.24
  1952          84              5672.59         2547.73         8220.32
  1952          85              4714.14         2012.54         6726.68
  1952          86              3853.50         1560.09         5413.58
  1952          87              3170.90         1207.07         4377.96
  1952          88              2540.04          898.07         3438.11
  1952          89              1993.14          661.64         2654.78
  1952          90              1557.82          505.59         2063.40
  1952          91              1244.48          397.10         1641.58
  1952          92               999.26          301.95         1301.21
  1952          93               755.53          207.13          962.66
  1952          94               568.83          140.57          709.40
  1952          95               412.74           96.02          508.76
  1952          96               295.56           69.24          364.81
  1952          97               222.38           46.67          269.04
  1952          98               148.29           25.69          173.98
  1952          99                88.82           12.45          101.27
  1952         100                59.51            9.05           68.56
  1952         101                39.66            9.07           48.74
  1952         102                27.36            7.96           35.32
  1952         103                16.93            5.16           22.08
  1952         104                11.73            2.99           14.72
  1952         105                 8.98            1.73           10.71
  1952         106                 7.23            1.00            8.24
  1952         107                 5.99            0.73            6.72
  1952         108                 4.73            0.50            5.23
  1952         109                 3.49            0.50            3.99
  1953          60             36074.31        27769.45        63843.77
  1953          61             33700.66        26061.73        59762.39
  1953          62             36867.89        27142.49        64010.39
  1953          63             34124.46        25015.02        59139.48
  1953          64             28805.93        22188.06        50993.99
  1953          65             30900.42        23059.33        53959.75
  1953          66             29302.50        21253.92        50556.42
  1953          67             29417.11        20332.77        49749.88
  1953          68             28787.23        19674.03        48461.27
  1953          69             25680.21        17835.71        43515.91
  1953          70             24477.77        16529.54        41007.31
  1953          71             21436.84        14646.16        36082.99
  1953          72             22826.12        15119.16        37945.28
  1953          73             20312.98        13247.55        33560.53
  1953          74             15940.41        10708.18        26648.60
  1953          75             16318.76        10839.56        27158.31
  1953          76             14482.95         9535.25        24018.19
  1953          77             14784.08         8858.55        23642.63
  1953          78             13608.78         7875.48        21484.25
  1953          79             11020.74         6473.15        17493.89
  1953          80             10766.37         5565.34        16331.70
  1953          81              9226.93         4711.73        13938.66
  1953          82              8085.34         4016.02        12101.36
  1953          83              6948.33         3313.64        10261.98
  1953          84              5814.17         2626.19         8440.36
  1953          85              4800.30         2053.09         6853.39
  1953          86              3923.88         1615.70         5539.58
  1953          87              3180.15         1234.50         4414.65
  1953          88              2558.66          913.34         3472.00
  1953          89              2031.20          664.31         2695.51
  1953          90              1557.61          483.31         2040.92
  1953          91              1217.05          375.14         1592.19
  1953          92              1001.67          302.46         1304.13
  1953          93               773.61          213.73          987.35
  1953          94               580.72          143.44          724.16
  1953          95               417.61           98.44          516.05
  1953          96               285.06           67.79          352.85
  1953          97               201.91           47.22          249.13
  1953          98               142.81           27.65          170.46
  1953          99                87.37           14.22          101.59
  1953         100                51.78            7.65           59.43
  1953         101                36.24            5.79           42.02
  1953         102                26.88            6.31           33.19
  1953         103                17.93            5.73           23.66
  1953         104                11.93            3.41           15.34
  1953         105                 8.50            1.48            9.97
  1953         106                 6.98            0.75            7.73
  1953         107                 5.24            0.77            6.01
  1953         108                 4.00            0.73            4.73
  1953         109                 3.76            0.50            4.26
  1954          60             35625.83        27642.35        63268.18
  1954          61             35499.99        27213.90        62713.89
  1954          62             33102.16        25437.84        58539.99
  1954          63             35957.93        26295.53        62253.46
  1954          64             33326.89        24262.33        57589.22
  1954          65             28295.78        21670.08        49965.86
  1954          66             30146.34        22348.50        52494.84
  1954          67             28432.72        20477.15        48909.87
  1954          68             28478.28        19537.72        48016.00
  1954          69             27782.24        18778.67        46560.91
  1954          70             24660.61        16953.78        41614.38
  1954          71             23519.07        15740.43        39259.50
  1954          72             20603.24        13885.13        34488.37
  1954          73             21728.42        14145.76        35874.18
  1954          74             19285.79        12315.30        31601.10
  1954          75             15019.16         9875.08        24894.24
  1954          76             15235.70         9902.97        25138.66
  1954          77             13556.58         8676.83        22233.41
  1954          78             13699.78         7975.47        21675.24
  1954          79             12520.18         7029.21        19549.39
  1954          80             11323.65         5898.18        17221.83
  1954          81              9673.79         4831.82        14505.61
  1954          82              8275.02         4066.18        12341.20
  1954          83              7117.73         3377.64        10495.37
  1954          84              6025.19         2717.79         8742.98
  1954          85              4912.44         2117.10         7029.54
  1954          86              3998.79         1657.22         5656.01
  1954          87              3222.66         1267.35         4490.01
  1954          88              2556.32          928.64         3484.97
  1954          89              2036.74          677.47         2714.21
  1954          90              1574.95          484.29         2059.24
  1954          91              1201.96          352.71         1554.67
  1954          92               967.78          278.53         1246.32
  1954          93               764.17          211.06          975.23
