Year,Austria,Belgium,Bulgaria,Croatia,Republic of Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden
2000,835352,1735557,484224.9,126742.13,101003.5,784615,1985389.4,53377.35,337310,6323737,6218208,467219.53,1175789.4,1016480,3911240.2,61815,188574.95,21709.66,17021,2880045.5,2888000,760148,983866.56,279374,146978,4913020,542818
2001,832034,1772170.9,217238.81,125458,101105,803492.2,2090981.5,57355.92,351414,6388404,6415452.5,465314.3,1101363.6,1031580,3979815.8,60399,152187.4,23857.12,18071,2595446.8,2890400,762344,947979,255681,163123,5055243,540879
2002,850636,1820409.4,241812.19,137496.98,104384,793520.1,2135645.2,68380.24,373290,6368200,6425212,475554.7,1162831.2,960880,4020558.2,63375,177359.34,23726.27,19187,2535822,3148358.2,780926.94,1033881.75,287425,155196,5344365,557826
2003,853484,1738859.4,195082,143597.44,101273,781938,2114041,67636.43,390363,6242554,6526472,514164.62,1059261.6,974380,3841146.2,71315,176452.11,24556.78,18895,2231496,3242010.2,738903.44,1137257.8,308907,173939,5479679,552200
2004,855627,1815472.5,220347,165378.9,100696,795270,2157658,71277,396890,6078314,6730857,495298.9,1010634.75,970555,3902552,73505.13,198659,23368.42,16394,2386189.8,3083918,755952.25,918809,280436,164372,5224113,553690
2005,848905,1740767.6,233421,188885.6,100601,744612,2121868,67118,394580,6019490,6810746,501356.9,937740,954880,3785872,77005.12,220108,21972.45,15147,2412290,3182424,773436.75,992905.44,260764,154372,5308964.5,531923
2006,859677,1780211,237984.7,190226.02,91816,709392,2053950,69537.3,399343.84,5518648,6991701,462580.7,923417,941142.6,3746997,80101.37,220238.83,20165.49,13915,2361490,3405379,767945.5,934366.56,238107,148189,5303133,519650
2007,890792,1806959.9,241848,205198.45,96018,697654,2110778.5,70433.93,412361.1,5668857,7405262,453468.97,924696,968409.44,3901905,84672.12,224665.4,20024.34,14335,2448382,3583674,800020,1006521.25,227315,153785,5517371,526942
2008,897128,1682182,229200,200568.69,101164,668355.56,2018240,74569,413558.62,5835821.5,7678784,456887.66,892428,916509.9,3929684.2,86367.07,195283.75,19929.56,15319,2473438,3207542,840020.1,959995.6,206114,152314,5501284.5,531525
2009,905037,1708183,249526.02,208708.38,96524,620045,1888236.6,75998,395143.28,5777096.5,7854327,454910.1,882756,885016.4,3971899.8,83496.87,178156.06,19953.56,13954,2532218,3359483,832546.7,1072552.5,188441,141720,5305566.5,531387
2010,920059,1816000,221002.98,216210.1,95847,602891.1,1993436.9,75420,386526.9,5810230.5,8185291.5,451390.88,869810,937798.4,4066402,80134.76,196625,19884.18,13699,2553316,3583600,839127.56,1006687,176539,143044,5443530.5,539415
2011,917991,1789081,219317.06,217435.98,93812,564441,2048917.9,80613,391100,5832339.5,8322638,430489.22,877578,949400,3961130.8,79705,198871,19530.2,12946,2659756,3652570,837790.9,997693,152866.7,134591,5655987,533917
2012,901451,1788258.8,222628.45,245468.8,89697,515733,1989131.1,78226,385834.75,5676336.5,8155482.5,432773.38,862890,914043.3,4024057.8,78827,207397,19898.65,11390.22,2686363.2,3845687.2,814803.2,989921.44,153760.6,130160,5647452,495539
2013,903523,1774712.4,207734.3,220024.69,82059,503960.97,1891283.2,79661,391346.5,5529044,8183412.5,487498.78,811454,937539.44,3856587.5,80578,219148,19835.5,11542.27,2700169.8,3879742,788531.44,896460.06,146936.86,120534,5502721,504820
2014,899987,1814780.9,205219.34,206545.3,75414,508850.22,1884947.9,71205.78,386974.72,5598080,8317017,425228.62,894504.2,1017812.7,3386830.8,84540.49,226506.9,21486.25,11526.54,2784183.8,4000180.8,791337.94,1045969.9,139050.19,122761,5716825.5,529798
2015,909621,1850880.1,209768.8,206358,79466.79,504921.9,1871928.9,82993.81,400205.38,5654140,8333571.5,459453.25,988669.5,1023663.8,3691961,85465.3,242169.1,22439.05,10712.68,2913981,4167208,841687.9,1084139.4,126970.71,121388,6056662,549520.7
2016,904770,1805539.4,216523.3,214048.52,79210.74,506240.16,1868369.5,77963.09,406546.28,5664372.5,8366516,460817.2,1016028.94,1059322.8,3838804.5,87175.93,231356.81,24253.85,10248.37,2985882,4261392.5,856175.75,1127512.8,138114.9,131908,6546387,545921
2017,892822,1794958,214718.67,218427.12,79875.33,495120,1813655.8,71363.26,400807.6,5563378.5,8248595,445428.16,1005762,1126747.9,3643617.8,91186.9,249207.05,23339.15,9705.68,3007300.2,4318921,851756.8,1126915,145684.58,137521,6662297.5,552297.5
2018,875061,1825048,221813.66,227159.38,78640,462792,1862831,72890,391590,5468071,8024938,437252.72,1030277,1142851.8,3661613,90606,223421,22962.3,9528.48,3047289,5222628,837950,1037841,152396.12,137375,6957687.5,546158.44
