Year,Austria,Belgium,Bulgaria,Croatia,Republic of Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden
2001,18.68174,20.693428,0.64192134,0.7005853,1.7330785,3.9302793,0.7891522,0.08798992,0.8499989,5.756621,4.7782474,1.8898443,1.1420212,3.372258,6.613704,0.2286103,0.06807026,2.2735205,4.1391926,7.235651,0.22793064,1.0179529,0.6755151,0.79169613,0.42159122,3.830316,2.4575813
2002,18.92041,19.558657,0.64145774,0.84908926,1.5664803,3.9506514,0.8185212,0.07818793,0.8799005,5.097317,3.205872,1.3910903,0.9920092,1.1016842,6.1118174,0.3685446,0.0778429,2.0610871,4.12322,1.4586323,0.15848279,0.9767199,0.6884559,0.76180893,0.34106794,3.7381878,2.3460479
2003,18.670208,18.678434,0.56202745,0.78112084,1.7159508,4.0525103,0.8279459,0.078151956,1.0400017,4.5703874,3.944937,1.7078494,0.7617982,0.8612284,5.1997905,0.26925367,0.077886075,2.208503,3.60439,0.41016337,0.16836461,0.9568519,0.71314883,0.7918549,0.29023132,3.4324954,2.265059
2004,18.28863,19.581562,0.7877626,0.7624876,2.084485,4.0788217,0.8573666,0.0782098,1.1299691,3.826107,1.3825798,1.3104889,0.9421884,1.4592999,5.3472905,0.2394218,0.12659699,3.5445328,3.950123,0.9314335,0.16836572,1.0775809,0.67652315,0.8921638,0.27975726,2.2667491,2.174368
2005,17.845919,18.704018,0.8159577,0.7232949,1.4443095,3.8714123,0.8471365,4.802479,1.209984,3.3002145,1.3729701,1.3810635,0.6714943,1.765618,5.433724,0.23944491,0.11692183,3.921199,3.8948896,0.95234644,0.09904108,1.0487713,0.6185523,0.902469,0.23942776,2.2048373,2.2346203
2006,18.210306,20.669819,0.893239,0.7236277,1.8468797,4.167903,0.9370957,0.53868276,1.2604189,3.3501532,2.0631251,1.6918726,1.14226,4.071513,5.5407834,0.3489015,0.14621103,4.172675,4.299763,7.874196,0.10899215,1.1792226,0.52763337,1.1441894,0.3891135,2.180942,2.0666523
2007,17.864994,20.636969,1.2443278,0.73386204,2.5538726,5.620092,2.29508,0.54848063,1.9212002,3.519882,2.7693632,2.344811,1.0019748,2.6770518,5.5965652,0.27883434,0.14622225,4.0966334,5.012655,4.353707,0.13879026,1.1489608,1.3584734,1.4876001,0.49920177,2.5172112,1.8489354
2008,17.89476,19.232622,2.1216764,0.7244065,2.38588,5.34716,0.958822,0.16631103,1.6514415,2.939092,2.7102933,1.4512281,1.0022439,1.6421192,5.792866,0.39769143,0.11697118,3.5081644,5.1834874,5.9355454,0.0892223,1.0888706,1.1836938,1.41874,0.4095894,2.4409633,2.1613383
2009,17.410437,18.372576,1.872536,0.7246456,1.7676301,5.3629804,1.0095513,0.1464531,1.831778,2.4611003,2.5489058,2.328918,0.8819712,2.0482924,5.742667,0.3079198,0.09753239,3.5308793,5.8434834,9.774637,0.168407,1.1288967,0.8030145,1.6811767,0.4996143,3.2168472,2.0919294
2010,17.467978,18.204914,0.9095105,0.7248734,1.6945843,4.397185,1.6011963,0.23413579,1.4207203,3.4630718,2.2355614,2.799203,1.1532435,1.4318675,5.745186,0.54724234,0.6352936,1.6730464,5.6733246,4.069481,0.15889171,1.130811,0.8815261,1.4119784,0.57907134,2.3699465,2.0800617
2011,17.31865,16.16528,0.8804172,0.72533035,1.591578,4.144772,1.581979,0.2534512,1.5805358,3.3221514,2.260069,2.4653363,1.0042953,1.2739432,5.756644,0.3792729,0.56955934,1.4936116,5.300146,4.9594445,0.1387898,1.2905103,0.49614236,2.8533306,0.3494142,1.9310645,2.0360386
2012,17.347643,15.670892,0.9108312,0.74574196,1.7860787,3.9958272,1.1921343,0.25377226,1.4102956,3.2337794,2.3150737,2.760034,1.3271663,0.5714298,5.9579954,0.3109608,0.543655,2.2812836,5.186829,5.426851,0.11876081,1.3404986,0.43213746,2.6928432,0.30979553,1.9899539,1.6521857
2013,17.123014,15.401026,0.99081314,0.7964995,1.3822439,3.9797075,0.8519049,0.13670869,1.0100236,3.3802545,2.5117712,4.0578527,1.2676867,1.341063,5.6932335,0.33300665,0.6276718,1.8640391,5.255491,5.60377,0.10871971,1.2710271,0.58393,1.4419297,0.32994047,1.9635377,1.9144112
2014,14.042362,12.599713,0.9632316,1.5796196,1.6638955,3.836743,0.8319603,0.0800894,1.2199026,1.4966029,2.587015,2.4036186,0.44713134,0.7407741,2.9742937,0.27133724,0.73408777,1.8464236,5.1721473,3.8162017,0.098727696,1.3912848,0.8416872,1.5627137,0.27893084,1.7416707,1.6604902
2015,14.159677,12.303265,0.788042,1.4525124,1.310333,3.9185357,0.831638,0.13003382,1.0102844,1.3414755,2.2720485,2.2194679,0.28804836,1.336047,2.0718024,0.41124505,0.7023906,1.762493,5.094867,3.4987016,0.088788085,1.3603364,0.7607224,1.7136414,0.24881479,1.6283965,1.6656134
